filename,width,height,depth,label,pose,truncated,difficult,xmin,ymin,xmax,ymax
imagen_0001.png,1280,720,3,Excavadora,,0,0,591,323,1170,567
imagen_0001.png,1280,720,3,Auto,,0,0,25,476,320,666
imagen_0002.png,1280,720,3,Excavadora,,0,0,282,182,1214,553
imagen_0003.png,1280,720,3,Excavadora,,0,0,467,232,730,496
imagen_0004.png,1280,720,3,Excavadora,,1,0,1,31,626,359
imagen_0005.png,1280,720,3,Bulldozer,,0,0,591,250,695,330
imagen_0005.png,1280,720,3,Camion_minero,,0,0,724,145,833,285
imagen_0005.png,1280,720,3,Camion_minero,,0,0,55,67,178,142
imagen_0006.png,1280,720,3,Camion_minero,,0,0,391,109,1041,557
imagen_0007.png,1280,720,3,Excavadora,,0,0,620,270,789,522
imagen_0007.png,1280,720,3,Camion_minero,,0,0,841,144,1003,300
imagen_0007.png,1280,720,3,Camion_minero,,0,0,201,130,338,330
imagen_0008.png,1280,720,3,Camion_minero,,0,0,400,185,1277,609
imagen_0009.png,1280,720,3,Camion_minero,,0,0,546,133,1070,442
imagen_0009.png,1280,720,3,Camion,,0,0,425,403,787,717
imagen_0010.png,1280,720,3,Camion,,0,0,537,354,883,671
imagen_0010.png,1280,720,3,Camion_minero,,0,0,573,67,1102,370
imagen_0011.png,1280,720,3,Camion_minero,,0,0,718,207,1019,366
imagen_0011.png,1280,720,3,Camion_minero,,0,0,138,393,238,449
imagen_0012.png,1280,720,3,Camion_minero,,1,0,317,130,948,720
imagen_0013.png,1280,720,3,Excavadora,,0,0,192,196,651,452
imagen_0013.png,1280,720,3,Camion_minero,,0,0,476,376,786,505
imagen_0013.png,1280,720,3,Excavadora,,0,0,874,370,1125,513
imagen_0014.png,1280,720,3,Excavadora,,0,0,55,85,895,456
imagen_0014.png,1280,720,3,Camion_minero,,0,0,504,353,989,567
imagen_0015.png,1280,720,3,Excavadora,,0,0,48,135,464,396
imagen_0015.png,1280,720,3,Camion_minero,,0,0,290,310,578,448
imagen_0015.png,1280,720,3,Excavadora,,0,0,658,290,867,424
imagen_0015.png,1280,720,3,Auto,,0,0,424,456,869,621
imagen_0016.png,1280,720,3,Camion_minero,,0,0,902,232,1176,384
imagen_0016.png,1280,720,3,Excavadora,,0,0,344,303,553,434
imagen_0016.png,1280,720,3,Camion_minero,,1,0,1,325,266,463
imagen_0017.png,1280,720,3,Camioneta,,0,0,463,381,691,546
imagen_0017.png,1280,720,3,Camion_minero,,0,0,52,265,201,345
imagen_0017.png,1280,720,3,Otro,,0,0,366,293,415,341
imagen_0018.png,1280,720,3,Bulldozer,,1,0,70,14,1280,596
imagen_0019.png,1280,720,3,Bulldozer,,0,0,226,7,766,451
imagen_0020.png,1280,720,3,Camion_minero,,0,0,309,65,1074,519
imagen_0021.png,1280,720,3,Camion_minero,,0,0,442,175,1190,486
imagen_0022.png,1280,720,3,Bulldozer,,1,0,410,133,1280,720
imagen_0023.png,1280,720,3,Camion_minero,,0,0,600,205,804,380
imagen_0024.png,1280,720,3,Camion_minero,,0,0,669,351,1130,694
imagen_0024.png,1280,720,3,Excavadora,,0,0,98,85,741,695
imagen_0025.png,1280,720,3,Excavadora,,0,0,471,357,881,629
imagen_0025.png,1280,720,3,Camion_minero,,0,0,407,443,635,563
imagen_0026.png,1280,720,3,Camion_minero,,0,0,295,140,1206,674
imagen_0027.png,1280,720,3,Camion_minero,,0,0,201,223,1123,715
imagen_0028.png,1280,720,3,Excavadora,,0,0,144,418,318,524
imagen_0028.png,1280,720,3,Camion_minero,,0,0,307,405,445,500
